Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV 2 CLG COIL(W),1 ZONE VAV 3 CLG COIL(W),1 ZONE VAV 4 CLG COIL(W),1 ZONE VAV 5 CLG COIL(W),1 ZONE VAV CLG COIL(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV 2 MAIN HTG COIL(W),1 ZONE VAV 3 MAIN HTG COIL(W),1 ZONE VAV 4 MAIN HTG COIL(W),1 ZONE VAV 5 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 2 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),BUILDING STORY 4 THERMALZONE REHEAT COIL(W),BUILDING STORY 5 THERMALZONE REHEAT COIL(W),BUILDING STORY 6 THERMALZONE REHEAT COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2017/03/29 14:00:00,606.4384664571678,0,622.8546424242923,52.804182021877004,0.0,292.98299228200517,0.0,219.73724421150428,12.76717518738936,26.82625322110011,0,1.320619533291598,0,506.6772261124015,116.17741631189084,0,0,0,0,0,0,0,0,0,0,0,17448.538738739026,15906.203533801145,18860.33096050334,40443.28584067313,13079.025392276622,0.0,0.0,0.0,0.0,0.0,0.0,4761.5757622910005,0.0,0.0,38608.27434317178,48610.22621123241,0.0,0.0,0,0,606.4384664571678,606.4384664571678,0.0,673.820518285742,0.0,606.4384664571678,673.820518285742,0,0
2017/03/29 15:00:00,612.5000001566644,0,568.0605128784115,58.52785911730342,0.0,292.98299228200517,0.0,219.73724421150428,12.971584876830681,26.816097058028475,0,1.4642226109922685,0,464.66606056808934,103.39445231032211,0,0,0,0,0,0,0,0,0,0,0,19287.07763994623,17713.750735972335,20676.156478670662,45634.021229999526,15474.312738847533,0.0,0.0,0.0,0.0,0.0,0.0,2925.217386420553,0.0,0.0,35420.66555731364,45542.95748764294,0.0,0.0,0,0,612.5000001566644,612.5000001566644,0.0,680.5555557296271,0.0,612.5000001566644,680.5555557296271,0,0
2017/03/29 16:00:00,622.0241271916507,0,856.0818513941448,41.1466883596236,0.0,292.98299228200517,0.0,247.35860120643406,12.59625458453575,26.87544485529943,0,1.0641459037525884,0,720.9259434530491,135.15590794109576,0,0,0,0,0,0,0,0,0,0,0,12588.392997126051,11190.993272442773,14165.458283640864,32721.600382143595,9035.217716620818,0.0,0.0,0.0,0.0,0.0,0.0,9797.22956756967,0.0,0.0,51359.56164600686,62867.53985918379,0.0,0.0,0,0,622.0241271916507,622.0241271916507,0.0,691.1379191018341,0.0,622.0241271916507,691.1379191018341,0,0
2017/03/29 17:00:00,359.27282178306325,0,1364.1620208001655,25.129774711045478,0.0,162.7683290455584,0.0,131.59447766898606,12.044488827553389,27.058136330926146,0,0.6776151989936521,0,1275.7731660864335,88.38885471373221,0,0,0,0,0,0,0,0,0,0,0,7496.368626005384,7956.646463959299,10828.714302333668,15907.928531745638,3613.8431746261876,0.0,0.0,0.0,0.0,0.0,0.0,13535.007429661318,2341.092783036425,0.0,93391.01603088975,105809.69052743597,0.0,5895.764238241192,0,0,359.27282178306325,359.27282178306325,0.0,399.1920242034036,0.0,359.27282178306325,399.1920242034036,0,0
2017/03/29 18:00:00,298.78434379445656,0,1242.1907512516466,71.65092475325106,0.0,97.66099742733506,0.0,97.66099742733522,6.09992038422902,24.131143825982033,0,1.5803599763242897,0,1162.97154638738,79.21920486426649,0,0,0,0,0,0,0,0,0,0,0,27981.830732531784,44929.19683228955,47267.6360694647,37511.30353731344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99108.28908826498,110063.60165268817,0.0,0.0,0,0,298.78434379445656,298.78434379445656,0.0,331.98260421606284,0.0,298.78434379445656,331.98260421606284,0,0
2017/03/29 19:00:00,195.33712347707882,0,54.64470422888916,0.0,0.0,97.66099742733506,0.0,97.66099742733522,0.0,0.015128622408612815,0,0.0,0,0.0,54.64470422888916,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,195.33712347707882,195.33712347707882,0.0,217.04124830786535,0.0,195.33712347707882,217.04124830786535,0,0
2017/03/29 20:00:00,310.6865314440583,0,1516.111670142278,76.12225640383065,0.0,65.10733161822338,36.421720134292485,97.66099742733522,6.409074220799611,27.238636154358534,0,1.7265154852183573,0,1455.3334920616464,60.77817808063127,0,0,0,0,0,0,0,0,0,0,0,53013.9900279988,49421.187662316355,51780.34075399926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7158.731965915604,126211.12604652904,139521.84450259423,0.0,0.0,0,0,310.6865314440583,310.6865314440583,0.0,345.2072571600648,0.0,310.6865314440583,345.2072571600648,0,0
2017/03/29 21:00:00,202.68903331703905,0,36.1037960102853,0.0,0.0,65.10733161822338,36.421720134292485,101.14485294211464,0.0,0.015128622408612813,0,0.0,0,0.0,36.1037960102853,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,202.68903331703905,202.68903331703905,0.0,225.21003701893227,0.0,202.68903331703905,225.21003701893227,0,0
2017/03/29 22:00:00,166.65151199314798,0,31.036035254072065,0.0,0.0,32.55366580911169,36.421720134292485,97.66099742733522,0.0,0.015128622408612813,0,0.0,0,0.0,31.036035254072065,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,166.65151199314798,166.65151199314798,0.0,185.1683466590533,0.0,166.65151199314798,185.1683466590533,0,0
2017/03/29 23:00:00,150.37467908859216,0,23.24981415094662,0.0,0.0,16.276832904555846,36.421720134292485,97.66099742733522,0.0,0.015128622408612812,0,0.0,0,0.0,23.24981415094662,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150.37467908859216,150.37467908859216,0.0,167.0829767651024,0.0,150.37467908859216,167.0829767651024,0,0
