Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(kWh),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction(),HeatRejection:Electricity(),WaterSystems:Electricity()
2017/02/01 23:00:00,8245.37365558703,0.0,37026.972706461,389.6937107494308,0.0,1307.5108678760587,862.055452194704,2860.2313348779,1141.4960768017013,282.50006828154574,1167.859581089749,5.662225260837653,0.0,12401.340586830236,18047.475036209147,6578.157083421615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8245.37365558703,8245.37365558703,0.0,9161.526283985588,0.0,8245.37365558703,9161.526283985588,0.0,0.0,0.0,0.0
2017/02/02 00:00:00,5565.661827020782,0.0,32042.49220549951,58.971811894686965,0.0,779.5275120768034,862.055452194704,1603.755427310998,997.4891379118212,233.31591374099403,821.3723907923894,0.40076058793184616,0.0,13715.744855349605,15645.82969945913,2680.917650690775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5565.661827020782,5565.661827020782,0.0,6184.068696689756,0.0,5565.661827020782,6184.068696689756,0.0,0.0,0.0,0.0
2017/02/02 01:00:00,4040.6947803840862,0.0,24569.973789576063,346.28491827012607,0.0,453.34013453354385,642.8674895724045,1477.9578009655015,551.3786086022686,78.69085421390575,450.529201393576,7.61168092426329,0.0,6639.212052259373,15551.840635720686,2378.921101596007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.6947803840862,4040.6947803840862,0.0,4489.660867093429,0.0,4040.6947803840862,4489.660867093429,0.0,0.0,0.0,0.0
2017/02/02 02:00:00,2937.842920688455,0.0,6670.057273464485,24.654526189177524,0.0,446.31495072856956,642.8674895724045,1257.1752312956119,341.2519692366044,27.994451037119532,165.06969706964966,0.4805136508206285,0.0,4103.825282019192,761.86462922026,1804.3673622250337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937.842920688455,2937.842920688455,0.0,3264.26991187606,0.0,2937.842920688455,3264.26991187606,0.0,0.0,0.0,0.0
2017/02/02 03:00:00,3601.828644056474,0.0,10446.048984463234,341.58313746442604,0.0,422.1691102393562,642.8674895724045,1385.4809984993938,524.8342309507472,79.07237530322432,166.28184062978215,7.505369488642971,0.0,7736.06171966629,439.4994999283545,2270.487764868591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3601.828644056474,3601.828644056474,0.0,4002.031826729415,0.0,3601.828644056474,4002.031826729415,0.0,0.0,0.0,0.0
2017/02/02 04:00:00,3038.581231703571,0.0,7065.98966644418,23.46877464854703,0.0,422.1691102393562,642.8674895724045,1278.7418645401694,446.2536063010152,28.149290182513536,164.41950292443983,0.47750138662833347,0.0,4741.852549571015,573.9864230118397,1750.1506938613259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038.581231703571,3038.581231703571,0.0,3376.2013685595234,0.0,3038.581231703571,3376.2013685595234,0.0,0.0,0.0,0.0
2017/02/02 05:00:00,4533.384322696603,0.0,20287.892920197104,160.38085329574363,0.0,511.2925526612744,642.8674895724045,1862.6474590745972,962.3573000085732,174.80210423328978,183.2344706704216,3.7680012718031546,0.0,16360.917404475666,543.183974375046,3383.7915413463934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4533.384322696603,4533.384322696603,0.0,5037.093691885114,0.0,4533.384322696603,5037.093691885114,0.0,0.0,0.0,0.0
2017/02/02 06:00:00,5268.278084170602,0.0,23073.429236954787,84.59383161512531,0.0,622.7191126183913,642.8674895724045,2899.9206815005787,640.8987593741753,115.05519346433427,228.37137383603235,1.8175502810638688,0.0,15087.393924931952,657.8877245308151,7328.147587492018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5268.278084170602,5268.278084170602,0.0,5853.642315745112,0.0,5268.278084170602,5853.642315745112,0.0,0.0,0.0,0.0
2017/02/02 07:00:00,7511.395231840301,0.0,39140.20767171063,182.09394243263088,0.0,1052.1884084025112,862.055452194704,3976.866990353819,955.3970262623595,109.67319261983003,336.7695132327326,4.3166144332173495,0.0,15336.026768425285,15234.65013122747,8569.530772057884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.395231840301,7511.395231840301,0.0,8345.994702044778,0.0,7511.395231840301,8345.994702044778,0.0,0.0,0.0,0.0
2017/02/02 08:00:00,9274.51936720689,0.0,52261.786995088114,100.44946081234916,0.0,1438.9635956257112,862.055452194704,4134.85210201985,1166.80183590795,138.97026909638262,1207.464879059441,2.2150334932498374,0.0,23772.67781521641,18205.44255409361,10283.666625778094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9274.51936720689,9274.51936720689,0.0,10305.021519118764,0.0,9274.51936720689,10305.021519118764,0.0,0.0,0.0,0.0
2017/02/02 09:00:00,10012.375489272861,0.0,57266.56287148449,121.99300426654999,0.0,2203.7466000622253,0.0,4836.921467512115,1195.9738624668869,253.1613724070354,1164.6763663654665,2.1272898296651137,0.0,26585.986319605123,18479.713465532306,12200.86308634706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.375489272861,10012.375489272861,0.0,11124.861654747629,0.0,10012.375489272861,11124.861654747629,0.0,0.0,0.0,0.0
2017/02/02 10:00:00,11026.468097073366,0.0,55742.13865888391,152.5257408940705,0.0,2617.6578449245003,0.0,5584.015161383878,1021.3356716326084,461.90678876274006,953.1615795581326,2.0897835545170276,0.0,23657.478227176733,18645.39148628391,13439.268945423268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11026.468097073366,11026.468097073366,0.0,12251.631218970404,0.0,11026.468097073366,12251.631218970404,0.0,0.0,0.0,0.0
2017/02/02 11:00:00,12251.66992280358,0.0,56577.29510645693,191.8434669208049,0.0,3023.096762434008,0.0,6418.301389552649,1078.5806487131724,455.7713682774371,848.393498832369,1.9072617102197889,0.0,22082.43277307197,17971.34733012532,16523.515003259643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12251.66992280358,12251.66992280358,0.0,13612.966580892864,0.0,12251.66992280358,13612.966580892864,0.0,0.0,0.0,0.0
2017/02/02 12:00:00,12816.651151297192,0.0,57130.86544872248,286.4863775977083,0.0,3006.630633350222,0.0,6788.812071746144,1130.8750773417828,450.04808164276295,885.8040693181383,1.8538799384209081,0.0,20294.826091619227,18751.51314082181,18084.526216281436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12816.651151297192,12816.651151297192,0.0,14240.72350144132,0.0,12816.651151297192,14240.72350144132,0.0,0.0,0.0,0.0
2017/02/02 13:00:00,12271.744807104122,0.0,56343.41571822357,329.2613862694688,0.0,3011.7739303038425,0.0,6156.220719439511,1202.3440308134338,450.8413703267669,843.6110408690328,1.680765174987462,0.0,21538.875778387825,17760.687865568852,17043.85207426691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12271.744807104122,12271.744807104122,0.0,13635.272007893469,0.0,12271.744807104122,13635.272007893469,0.0,0.0,0.0,0.0
2017/02/02 14:00:00,12253.54938651082,0.0,55112.4806065294,268.7709073910166,0.0,3009.5068594470404,0.0,6277.980578542254,1195.7726454608055,450.9475214031322,773.1204480189018,1.4388623405924128,0.0,21536.591257562013,17895.3167706606,15680.572578306792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12253.54938651082,12253.54938651082,0.0,13615.05487390091,0.0,12253.54938651082,13615.05487390091,0.0,0.0,0.0,0.0
2017/02/02 15:00:00,11660.021996391697,0.0,53634.776169435594,204.55906619816972,0.0,3024.5386958872914,0.0,5841.184422772815,1159.4065343586747,451.26899246602477,701.5477421618999,1.5049786397433202,0.0,22337.87409271171,16979.60899437721,14317.293082346672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11660.021996391697,11660.021996391697,0.0,12955.579995990774,0.0,11660.021996391697,12955.579995990774,0.0,0.0,0.0,0.0
2017/02/02 16:00:00,11622.051483812216,0.0,55660.071803040664,191.94077020406738,0.0,3045.74396573385,0.0,5691.345290161261,1301.6454360130324,450.00707382990055,663.8872790426456,1.4701049203825305,0.0,23692.879785387595,17327.293581360813,14639.89843629226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11622.051483812216,11622.051483812216,0.0,12913.390537569128,0.0,11622.051483812216,12913.390537569128,0.0,0.0,0.0,0.0
2017/02/02 17:00:00,12106.868870633642,0.0,59552.55215625013,213.0423376800506,0.0,2941.7857637198326,0.0,6191.953652446204,1332.161049172161,450.49691744470556,700.0457541658903,1.3718320977178724,0.0,26008.744233378082,16910.707411451916,16633.10051142013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12106.868870633642,12106.868870633642,0.0,13452.076522926267,0.0,12106.868870633642,13452.076522926267,0.0,0.0,0.0,0.0
2017/02/02 18:00:00,12954.006923288127,0.0,62294.55345488337,176.64679981487922,0.0,2656.6913942943147,862.055452194704,6124.9075371890585,1345.568539808144,424.283442116854,1086.8869038437279,0.9552901193629197,0.0,27761.07064420127,17900.38229926197,16633.10051142013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12954.006923288127,12954.006923288127,0.0,14393.341025875694,0.0,12954.006923288127,14393.341025875694,0.0,0.0,0.0,0.0
2017/02/02 19:00:00,12312.173748934798,0.0,57987.70401903907,297.41941237408815,0.0,2633.6396949065906,862.055452194704,5082.673370793464,1385.3762091108895,435.5699310100574,1352.7043382767208,2.005567814094892,0.0,23925.388633143513,18271.94642410218,15790.36896179337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12312.173748934798,12312.173748934798,0.0,13680.193054372001,0.0,12312.173748934798,13680.193054372001,0.0,0.0,0.0,0.0
2017/02/02 20:00:00,12115.94887368951,0.0,52829.19377255877,215.72702969052068,0.0,2747.46372630051,862.055452194704,4854.867941838843,1367.8694470994633,393.4296785527671,1413.110088354246,0.6957372042647968,0.0,20250.525872484737,18257.317114731533,14321.3507853425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12115.94887368951,12115.94887368951,0.0,13462.165415210562,0.0,12115.94887368951,13462.165415210562,0.0,0.0,0.0,0.0
2017/02/02 21:00:00,11619.922823761895,0.0,53833.38710908708,265.1910666853909,0.0,2283.651051839541,862.055452194704,4776.934411220774,1421.3647710113792,491.9786830698459,1287.802082481051,2.580966804111831,0.0,22149.547695418038,18421.575736440638,13262.263677228406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11619.922823761895,11619.922823761895,0.0,12911.02535973544,0.0,11619.922823761895,12911.02535973544,0.0,0.0,0.0,0.0
2017/02/02 22:00:00,10265.440443838072,0.0,48694.43664213614,107.18483845171355,0.0,1910.270825856158,862.055452194704,4236.124456982683,1268.0786747322118,236.02553041058303,1416.6486925145207,0.6876342403942693,0.0,18756.831749123125,18092.837380108427,11844.76751290458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10265.440443838072,10265.440443838072,0.0,11406.044937597859,0.0,10265.440443838072,11406.044937597859,0.0,0.0,0.0,0.0
2017/02/02 23:00:00,8199.424603544525,0.0,44051.59165555314,318.62149113088844,0.0,1307.5108678760587,862.055452194704,2860.2313348779,1147.0925390469295,299.2614915179974,1170.9637316397077,5.3233568052365605,0.0,19351.543632363344,18121.890939768185,6578.157083421615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8199.424603544525,8199.424603544525,0.0,9110.471781716138,0.0,8199.424603544525,9110.471781716138,0.0,0.0,0.0,0.0
2017/02/03 00:00:00,5297.548266437611,0.0,37062.44651761323,5.514493501058037,0.0,779.5275120768034,862.055452194704,1603.755427310998,1005.8899498730883,8.489314945301587,823.2810014319891,0.0,0.0,18722.752376449575,15658.77649047287,2680.917650690775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5297.548266437611,5297.548266437611,0.0,5886.164740486235,0.0,5297.548266437611,5886.164740486235,0.0,0.0,0.0,0.0
2017/02/03 01:00:00,4249.155206593429,0.0,27683.74631880293,358.4527367441471,0.0,580.5519196924563,642.8674895724045,1511.7342164649422,557.423058227868,106.6367743305672,452.4636984552308,6.991221197315971,0.0,9763.895355600675,15540.929861606244,2378.921101596007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249.155206593429,4249.155206593429,0.0,4721.283562881588,0.0,4249.155206593429,4721.283562881588,0.0,0.0,0.0,0.0
