Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(kWh),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV CLG COIL(W),BUILDING STORY 2 THERMALZONE PTAC 1SPD DX AC CLG COIL 1796KBTU/HR 9.3EER(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),HOT WATER LOOP WATER HTG COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2017/02/18 07:00:00,616.4327973029079,0,2034.0352495167747,129.1564310857432,0.0,104.77486008181823,22.45788663456448,203.3100401936399,114.75473240193962,22.31377410300276,16.77751861367095,2.887554188528987,0,1628.8905356218443,150.52142877610927,254.6232851188211,0,0,0,0,0,0,0,0,0,0,70917.8436617027,458131.12193759874,0.0,0.0,0.0,194211.96055333153,120690.72365897043,0.0,0,0,616.4327973029079,616.4327973029079,0.0,684.9253303365643,0.0,616.4327973029079,684.9253303365643,0,0
2017/02/18 08:00:00,581.8211795958752,0,1397.0199213712049,47.58941600926005,0.0,115.51658678435857,0.0,267.82566586112966,111.70924123061145,21.622407282367313,16.473923463811396,1.0839389643366961,0,889.810520108939,152.17632543976936,355.0330758224965,0,0,0,0,0,0,0,0,0,0,0.0,89820.7639643585,0.0,0.0,0.0,163321.9585500927,0.0,0.0,0,0,581.8211795958752,581.8211795958752,0.0,646.4679773287502,0.0,581.8211795958752,646.4679773287502,0,0
2017/02/18 09:00:00,754.9523903683404,0,1674.9752307726428,57.82192725114256,0.0,193.41992021700597,0.0,344.2411480827862,114.7547324019396,21.671458532314016,21.785025519346082,1.2581783638061763,0,1054.803656041701,158.62857616169643,461.5429985692455,0,0,0,0,0,0,0,0,0,0,24631.57390240867,94057.21961782842,0.0,0.0,0.0,115245.0685807945,99721.64058095998,0.0,0,0,754.9523903683404,754.9523903683404,0.0,838.8359892981559,0.0,754.9523903683404,838.8359892981559,0,0
2017/02/18 10:00:00,763.5649675215844,0,1585.5205448349432,63.02902625005592,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.581941361736273,27.596143244127564,1.3746523559033084,0,952.0643130372895,171.913233228408,461.5429985692455,0,0,0,0,0,0,0,0,0,0,28479.29587176548,100460.95903966071,0.0,0.0,0.0,111736.10532623617,70806.55760743769,0.0,0,0,763.5649675215844,763.5649675215844,0.0,848.4055194684271,0.0,763.5649675215844,848.4055194684271,0,0
2017/02/18 11:00:00,770.0774114175238,0,1669.8292455684748,67.58277861448178,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.60405573852201,29.418782231716033,1.4885905230425902,0,1031.946714810666,176.33953218856342,461.5429985692455,0,0,0,0,0,0,0,0,0,0,29740.070162126794,108804.27045768901,0.0,0.0,0.0,111736.28969072494,79526.61273990586,0.0,0,0,770.0774114175238,770.0774114175238,0.0,855.641568241693,0.0,770.0774114175238,855.641568241693,0,0
2017/02/18 12:00:00,780.0876593692605,0,1500.331712191213,76.02380219788286,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.54331785406129,30.838376392004424,1.6989586155504166,0,862.4561642474036,176.33254937456385,461.5429985692455,0,0,0,0,0,0,0,0,0,0,31951.394519320173,124521.43781723629,0.0,0.0,0.0,99977.33819479716,60447.71031666486,0.0,0,0,780.0876593692605,780.0876593692605,0.0,866.7640659658449,0.0,780.0876593692605,866.7640659658449,0,0
2017/02/18 13:00:00,788.4095555279052,0,1382.9395482249179,85.03449114768618,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.50039944449668,30.084969722635215,1.806490903325698,0,745.0711264079232,176.32542324774903,461.5429985692455,0,0,0,0,0,0,0,0,0,0,33161.412894695255,133239.6107007176,14023.640953221651,0.0,0.0,91697.65557326979,45154.9689383742,0.0,0,0,788.4095555279052,788.4095555279052,0.0,876.010617253228,0.0,788.4095555279052,876.010617253228,0,0
2017/02/18 14:00:00,799.2216840642631,0,1347.6214194439112,96.28324449602646,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.493425710896872,29.4614003949603,2.0004091526180767,0,709.7602706785099,176.31815019615598,461.5429985692455,0,0,0,0,0,0,0,0,0,0,35425.275160645,149086.6272199797,23144.914718381995,0.0,0.0,89995.79373747259,38103.51387305951,0.0,0,0,799.2216840642631,799.2216840642631,0.0,888.0240934047367,0.0,799.2216840642631,888.0240934047367,0,0
2017/02/18 15:00:00,802.0366090228259,0,1303.2971399739872,97.79725435348182,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.477047408070682,30.772211205126816,2.0068917463852265,0,664.8541992956727,176.8999421090689,461.5429985692455,0,0,0,0,0,0,0,0,0,0,35415.714188575665,149167.08783457667,27561.11100927397,0.0,0.0,87413.33114985572,31497.992989134407,0.0,0,0,802.0366090228259,802.0366090228259,0.0,891.1517878031399,0.0,802.0366090228259,891.1517878031399,0,0
2017/02/18 16:00:00,792.8689128384009,0,1377.906153761977,90.72986461832286,0.0,193.41992021700597,0.0,341.80855169081605,114.75473240193962,21.495062314235927,28.79558004316936,1.8652015529116392,0,736.0040325296208,180.35912266311098,461.5429985692455,0,0,0,0,0,0,0,0,0,0,34188.33816667695,140302.53112118246,19589.39308179963,0.0,0.0,93382.95064208822,37156.53997717472,0.0,0,0,792.8689128384009,792.8689128384009,0.0,880.9654587093343,0.0,792.8689128384009,880.9654587093343,0,0
